name,site,subtypes,category,phone,full_address,city,postal_code,latitude,longitude,plus_code,rating,reviews,reviews_tags,photo,working_hours,about,range,logo,description,location_link,place_id,verified_features,verified_summary,venue_type_verified
The Elderfield,https://www.theelderfield.co.uk/,"Pub, Bar",bars,+44 20 8986 1591,"57 Elderfield Rd, Lower Clapton, London E5 0LF, United Kingdom",London,E5 0LF,51.5534679,-0.0469781,9C3XHX33+96,4.4,502,"atmosphere, prices, sunday roast, board games, children, burgers, ales, plants, eric clapton, jazz band",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5GOG1ryY7UC_eSRoY4XjSFxibYTtqj54VzfXOQkyp63vl_M1J3f8jnlwIeEZVrt1SDAVmWJMLwkMoISolvQ0E0G3jmCGfIAKM9YQiJ1vNcosIJhFm0l5OLvilOCOawvGUBk4=w800-h500-k-no,"Sunday,1,10:30PM|Monday,4,10:30PM|Tuesday,4,11PM|Wednesday,4,11PM|Thursday,4,11PM|Friday,4PM,12AM|Saturday,1PM,12AM","{""Service options"": {""Outdoor seating"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Great beer selection"": true, ""Great wine list"": true, ""Live music"": true, ""Trivia night"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Outside food allowed"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Pets"": {""Dogs allowed"": true}}",£10–20,https://lh4.googleusercontent.com/-Kf5M4VGePIE/AAAAAAAAAAI/AAAAAAAAAAA/B_jj12o0xGI/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/The+Elderfield/@51.5534679,-0.046978099999999995,14z/data=!4m8!1m2!2m1!1sThe+Elderfield!3m4!1s0x48761d01df49f177:0x9038b4accaf782e9!8m2!3d51.5534679!4d-0.046978099999999995",ChIJd_FJ3wEddkgR6YL3yqy0OJA,"Board games, Cocktails, Craft beer, Dog-friendly, Food menu, Late-night, Live music, Outdoor seating, Real ale, Sunday roast, Trivia night, Wine","A pub, bar serving craft beer, cocktails, wine and real ale, with outdoor seating, featuring live music and trivia nights, with board games, offering sunday roast, open late, dog-friendly. Key features: Board games, Cocktails, Craft beer, Dog-friendly, Food menu",Bar
The Clapton Hart,http://www.claptonhart.co.uk/,Pub,bars,+44 20 8161 0959,"231 Lower Clapton Rd, Lower Clapton, London E5 8EH, United Kingdom",London,E5 8EH,51.5577692,-0.0561554,9C3XHW5V+4G,4.2,1211,"roast, beer garden, veggie, area, ales, pool table, hipster, toilets, DJ, ceilings",https://lh3.googleusercontent.com/p/AF1QipP1O80tHN-VhfIWjS4FCh6c8LY9Md4Okw-evZ5G=w800-h500-k-no,"Sunday,12,10:30PM|Monday,4,11PM|Tuesday,4,11PM|Wednesday,4,11PM|Thursday,12PM,12AM|Friday,12PM,1AM|Saturday,12PM,1AM","{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true, ""Delivery"": false, ""Takeaway"": false}, ""Highlights"": {""Bar games"": true, ""Great beer selection"": true, ""Great wine list"": true, ""Live performances"": true, ""Sport"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Free water refills"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true, ""Table service"": true}, ""Amenities"": {""Toilet"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Pets"": {""Dogs allowed"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$$,https://lh5.googleusercontent.com/-iUfRb54_HFY/AAAAAAAAAAI/AAAAAAAAAAA/Wbc1rlig_ws/s44-p-k-no-ns-nd/photo.jpg,"Massive venue with a stylishly downtrodden feel, a terrace and a range of hard-to-find craft beers.","https://www.google.com/maps/place/The+Clapton+Hart/@51.557769199999996,-0.056155399999999994,14z/data=!4m8!1m2!2m1!1sThe+Clapton+Hart!3m4!1s0x48761cf87c291e1d:0x80abf59839a51465!8m2!3d51.557769199999996!4d-0.056155399999999994",ChIJHR4pfPgcdkgRZRSlOZj1q4A,"Beer garden, Cocktails, Craft beer, DJ, Dog-friendly, Food menu, LGBTQ+ friendly, Late-night, Live music, Outdoor seating, Pool table, Real ale, Sports screening, Sunday roast, Vegetarian options, Wine","Massive venue with a stylishly downtrodden feel, a terrace and a range of hard-to-find craft beers. Key features: Beer garden, Cocktails, Craft beer, DJ, Dog-friendly",Pub
The Star By Hackney Downs,http://starbyhackneydowns.co.uk/,"Pub, Bar, Beer garden, Function room facility, Karaoke bar, Restaurant",bars,,"35 Queensdown Rd, Lower Clapton, London E5 8JQ, United Kingdom",London,E5 8JQ,51.5531067,-0.0577558,9C3XHW3R+6V,4.2,747,"room, birthday, sunday roast, karaoke, vegan, hipster, gravy, security, cauliflower cheese, brisket",https://lh3.googleusercontent.com/p/AF1QipOxPdQmQ2IlK15p_afUa4YGrB0g9995SZOi0dRn=w800-h500-k-no,"Sunday,12,11PM|Monday,3,11PM|Tuesday,3,11PM|Wednesday,3,11PM|Thursday,3PM,12AM|Friday,2PM,1AM|Saturday,12PM,1AM","{""Service options"": {""Outdoor seating"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Bar games"": true, ""Great beer selection"": true, ""Karaoke"": true, ""Live music"": true, ""Live performances"": true, ""Trivia night"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Dancing"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid street parking"": true}, ""Pets"": {""Dogs allowed"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",£10–30,https://lh6.googleusercontent.com/-c-9WqeK2f_c/AAAAAAAAAAI/AAAAAAAAAAA/hTLCY2eAa9o/s44-p-k-no-ns-nd/photo.jpg,"Trendy corner pub with a streetside terrace, craft beers and regular weekend DJ sessions until late.","https://www.google.com/maps/place/The+Star+By+Hackney+Downs/@51.5531067,-0.057755799999999996,14z/data=!4m8!1m2!2m1!1sThe+Star+By+Hackney+Downs!3m4!1s0x48761cf9c2a484a3:0xd664972717dce85b!8m2!3d51.5531067!4d-0.057755799999999996",ChIJo4SkwvkcdkgRW-jcFyeXZNY,"Cocktails, Craft beer, Dancing, Dog-friendly, Food menu, Karaoke, LGBTQ+ friendly, Late-night, Live music, Outdoor seating, Sunday roast, Trivia night, Vegan options, Wine","Trendy corner pub with a streetside terrace, craft beers and regular weekend DJ sessions until late. Key features: Cocktails, Craft beer, Dancing, Dog-friendly, Food menu",Bar
The London Tavern,,Pub,bars,+44 20 8986 0966,"92 Rendlesham Rd, London E5 8PA, United Kingdom",London,E5 8PA,51.5586833,-0.063392,9C3XHW5P+FJ,4.2,60,"price, atmosphere, sushi, community, sound, pool, games",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noGcsMZGhnzDWwLFvzfovRmfkxSQ-rgPJFvBjTq1SxDlXiF4Cs5KCTll4WyIvwEXJiZ0NXkMlossCtdSBpOYzC28apJ0ImELXw6BYcuSz7vIGgoGkWCoOMajgoAZlwuyhKqic0i=w800-h500-k-no,"Sunday,12,10PM|Monday,2,10PM|Tuesday,2,10PM|Wednesday,2,10PM|Thursday,2,10PM|Friday,2,10PM|Saturday,12,10PM","{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true, ""Delivery"": false, ""Takeout"": false}, ""Highlights"": {""Sports"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Food"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",$,https://lh5.googleusercontent.com/---j5x8z98uI/AAAAAAAAAAI/AAAAAAAAAAA/1q2-hPA4M6c/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/The+London+Tavern/@51.5586833,-0.063392,14z/data=!4m8!1m2!2m1!1sThe+London+Tavern!3m4!1s0x48761c58e9df31e9:0xa2337575039b197!8m2!3d51.5586833!4d-0.063392",ChIJ6THf6VgcdkgRl7E5UFc3Iwo,"Craft beer, Food menu, Outdoor seating, Wine","A pub serving craft beer and wine, with outdoor seating, offering food menu. Key features: Craft beer, Food menu, Outdoor seating, Wine",Pub
Royal Sovereign,http://www.royalsovereignclapton.co.uk/,"Pub, Restaurant",bars,+44 20 8806 2449,"The Royal Sovereign, 64 Northwold Rd, London E5 8RL, United Kingdom",London,E5 8RL,51.562693,-0.063198,9C3XHW7P+3P,4.5,455,"pizza, atmosphere, garden, crowd, live music, area, ales, character, kids, hipster",https://lh3.googleusercontent.com/p/AF1QipPCUYLBa93ZdMmBnK1wcXRdi0_LC9TOWfkKRB15=w800-h500-k-no,"Sunday,12,11p.m.|Monday,2,11p.m.|Tuesday,2,11p.m.|Wednesday,2,11p.m.|Thursday,2,11p.m.|Friday,2p.m.,12a.m.|Saturday,12p.m.,12a.m.","{""Service options"": {""Outdoor seating"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Bar games"": true, ""Great beer selection"": true, ""Great wine list"": true, ""Live music"": true, ""Live performances"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Dancing"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Pets"": {""Dogs allowed"": true}}",£10–20,https://lh3.googleusercontent.com/-mJ-dloon4F4/AAAAAAAAAAI/AAAAAAAAAAA/RBEegD-WwEw/s44-p-k-no-ns-nd/photo.jpg,"Weekend DJs, a courtyard garden and stone-baked pizzas make this trendy pub popular with locals.","https://www.google.com/maps/place/Royal+Sovereign/@51.562692999999996,-0.06319799999999999,14z/data=!4m8!1m2!2m1!1sRoyal+Sovereign!3m4!1s0x48761c5bdd8e780f:0x3bc359b3a3d7c894!8m2!3d51.562692999999996!4d-0.06319799999999999",ChIJD3iO3VscdkgRlMjXo7NZwzs,"Cocktails, Craft beer, Dancing, Dog-friendly, Food menu, Live music, Outdoor seating, Real ale, Wine","Weekend DJs, a courtyard garden and stone-baked pizzas make this trendy pub popular with locals. Key features: Cocktails, Craft beer, Dancing, Dog-friendly, Food menu",Pub
The Anchor & Hope,http://www.anchor-and-hope-clapton.co.uk/,"Pub, Bar",bars,+44 20 8806 1730,"15 High Hill Ferry, London E5 9HE, United Kingdom",London,E5 9HE,51.5681642,-0.052855,9C3XHW9W+7V,4.4,650,"river, school, cash, towpath, park, characters, marshes, cyclists, benches, hipsters",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noueeD_QAxS-gQwbz3zuK9zNrajpQtLOAVTTNM0HjEN8hrylEc03CTFdUirQkW3X13S_qmf7MhgWc61oCQwnvIJVwFh8W4EpA_GrEP8_VqqJ_zmxRVZ-Irl-89Xq6QyuZYuiy8=w800-h500-k-no,"Sunday,12,10:30PM|Monday,1,11PM|Tuesday,1,11PM|Wednesday,1,11PM|Thursday,1,11PM|Friday,1,11PM|Saturday,12,11PM","{""Service options"": {""Outdoor seating"": true, ""Delivery"": false, ""Takeout"": false}, ""Highlights"": {""Great beer selection"": true, ""Live performances"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trending"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Pets"": {""Dogs allowed"": true}}",£1–10,https://lh4.googleusercontent.com/-p8VpHzcQRFc/AAAAAAAAAAI/AAAAAAAAAAA/zSNLZgj515E/s44-p-k-no-ns-nd/photo.jpg,"Small local pub with a weekend menu, a beer garden and log fires, set on the bank of the River Lea.","https://www.google.com/maps/place/The+Anchor+%26+Hope/@51.5681642,-0.052855,14z/data=!4m8!1m2!2m1!1sThe+Anchor+%26+Hope!3m4!1s0x48761c4df993b36b:0x3cec50ce82fa4ced!8m2!3d51.5681642!4d-0.052855",ChIJa7OT-U0cdkgR7Uz6gs5Q7Dw,"Craft beer, Dog-friendly, Live music, Outdoor seating, Wine","Small local pub with a weekend menu, a beer garden and log fires, set on the bank of the River Lea. Key features: Craft beer, Dog-friendly, Live music, Outdoor seating, Wine",Bar
Crooked Billet,https://www.e5crookedbillet.co.uk/,"Pub, Beer garden",bars,+44 20 3058 1166,"84 Upper Clapton Rd, London E5 9JP, United Kingdom",London,E5 9JP,51.56223,-0.0572878,9C3XHW6V+V3,4.4,1461,"beer garden, roast, space, summer, table tennis, toilets, winter, padron peppers, back garden, crowd",https://lh3.googleusercontent.com/p/AF1QipOREnNvUx-hKR9gckSzu1J1uRT-_fh7h2UvN1Ls=w800-h500-k-no,"Sunday,11AM,11PM|Monday,11AM,11PM|Tuesday,11AM,11PM|Wednesday,11AM,11PM|Thursday,11AM,12AM|Friday,11AM,12AM|Saturday,11AM,12AM","{""Service options"": {""Dine-in"": true, ""Delivery"": false, ""Takeout"": false}, ""Highlights"": {""Bar games"": true, ""Great beer selection"": true, ""Great wine list"": true, ""Live performances"": true, ""Sports"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Parking"": {""Parking"": true}, ""Pets"": {""Dogs allowed"": true}}",£10–30,https://lh4.googleusercontent.com/-pO1LubJ9JfQ/AAAAAAAAAAI/AAAAAAAAAAA/uWM01QrGvzc/s44-p-k-no-ns-nd/photo.jpg,"Restored, bright joint serving local real ale and pub meals, with beer garden and ping-pong table.","https://www.google.com/maps/place/Crooked+Billet/@51.56223,-0.0572878,14z/data=!4m8!1m2!2m1!1sCrooked+Billet!3m4!1s0x48761c573c206b33:0x5d8085935bdf4821!8m2!3d51.56223!4d-0.0572878",ChIJM2sgPFccdkgRIUjfW5OFgF0,"Beer garden, Cocktails, Craft beer, Dog-friendly, Food menu, Late-night, Live music, Sunday roast, Wine","Restored, bright joint serving local real ale and pub meals, with beer garden and ping-pong table. Key features: Beer garden, Cocktails, Craft beer, Dog-friendly, Food menu",Pub
Princess of Wales,https://www.princessofwalesclapton.co.uk/,"Pub, Beer garden",bars,+44 20 8533 3463,"146 Lea Bridge Rd, Lower Clapton, London E5 9RB, United Kingdom",London,E5 9RB,51.5618717,-0.0457816,9C3XHX63+PM,4.3,2045,"canal, sunday roast, walk, winter, scotch egg, cycling, marshes, lockdown, hipsters, tow path",https://lh3.googleusercontent.com/p/AF1QipP6bu0dt7vwxf2Ifss9h64OMQoI2VkN9MRGeVIG=w800-h500-k-no,"Sunday,11AM,10PM|Monday,11AM,11PM|Tuesday,11AM,11PM|Wednesday,11AM,11PM|Thursday,11AM,11PM|Friday,11AM,11PM|Saturday,11AM,11PM","{""Service options"": {""Onsite services"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Bar games"": true, ""Great beer selection"": true, ""Great wine list"": true, ""Live performances"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid parking lot"": true, ""Paid street parking"": true, ""Parking"": true}, ""Pets"": {""Dogs allowed"": true}}",£20–30,https://lh3.googleusercontent.com/-ua3xXDgrjgc/AAAAAAAAAAI/AAAAAAAAAAA/-VTQ9FnCkuE/s44-p-k-no-ns-nd/photo.jpg,Stylishly renovated Victorian pub with a gastro menu and an outdoor terrace.,"https://www.google.com/maps/place/Princess+of+Wales/@51.5618717,-0.0457816,14z/data=!4m8!1m2!2m1!1sPrincess+of+Wales!3m4!1s0x48761dab4ff7058d:0xf60fa687c1bce7b7!8m2!3d51.5618717!4d-0.0457816",ChIJjQX3T6sddkgRt-e8wYemD_Y,"Cocktails, Craft beer, Dog-friendly, Food menu, Late-night, Live music, Sunday roast, Wine","Stylishly renovated Victorian pub with a gastro menu and an outdoor terrace. Key features: Cocktails, Craft beer, Dog-friendly, Food menu, Late-night",Pub
The Spurstowe Arms,http://spurstowearms.com/,Pub,bars,+44 20 7923 3115,"68 Greenwood Rd, London E8 1AB, United Kingdom",London,E8 1AB,51.5453895,-0.0631891,9C3XGWWP+5P,4.2,571,"atmosphere, pizza, price, garden, wine, crowd, sunday roast, area, hipster, evening",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAOLbkzBW047RP7BzGkHPoPXUMIwy9wwAQclL6m1ydVXrFE4CxWNkugNdFRyCvcCrJTjEuP9jOEuqpDpC-qwPz3775Uen9CzpwlM6jV70md0Ad8rHe9KTjMTmfZFtO_Fw78QGo=w800-h500-k-no,"Sunday,12,11pm|Monday,4:30,11pm|Tuesday,4:30,11pm|Wednesday,4:30,11pm|Thursday,4:30,11pm|Friday,4:30pm,12am|Saturday,12pm,12am","{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Great beer selection"": true, ""Great wine list"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false, ""Wheelchair-accessible toilet"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Pets"": {""Dogs allowed"": true}}",£10–20,https://lh3.googleusercontent.com/-zH-60k01ZKM/AAAAAAAAAAI/AAAAAAAAAAA/t5hu7vhJSn0/s44-p-k-no-ns-nd/photo.jpg,Classically decorated pub offering a modern menu and selection of aperitifs and cocktails.,"https://www.google.com/maps/place/The+Spurstowe+Arms/@51.5453895,-0.0631891,14z/data=!4m8!1m2!2m1!1sThe+Spurstowe+Arms!3m4!1s0x487606f76b898add:0x23f4eb01ef8cd953!8m2!3d51.5453895!4d-0.0631891",ChIJ3YqJa_cGdkgRU9mM7wHr9CM,"Cocktails, Craft beer, Dog-friendly, Food menu, Outdoor seating, Sunday roast, Wine","Classically decorated pub offering a modern menu and selection of aperitifs and cocktails. Key features: Cocktails, Craft beer, Dog-friendly, Food menu, Outdoor seating",Pub
Baxter’s Court - JD Wetherspoon,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/baxters-court-hackney,Pub,bars,+44 20 8525 9010,"282, 284 Mare St, London E8 1HE, United Kingdom",London,E8 1HE,51.5453485,-0.0550104,9C3XGWWV+4X,3.8,1891,"spoons, breakfast, toilets, floor, fish and chips, plates, security, glasses, smoking, terrace",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4H2R1tZ2P2dzs5u8s9r9CCLgHzD5hbIRJlqg0m6JQin0g-2UWnUENskHOS9Vm06bwNTg8dEZ_EVIEKi8jrOGFbfafb-iY6aCNc-fxIo7sAnarf6IJrDZ_UuviRcF-HeFpk6kG=w800-h500-k-no,"Sunday,8AM,12AM|Monday,8AM,12AM|Tuesday,8AM,12AM|Wednesday,8AM,12AM|Thursday,8AM,12AM|Friday,8AM,1AM|Saturday,8AM,1AM","{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true, ""Delivery"": false, ""Takeout"": false}, ""Highlights"": {""Great beer selection"": true, ""Great cocktails"": true, ""Great wine list"": true, ""Sports"": true}, ""Popular for"": {""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid street parking"": true, ""Parking"": true}}",£10–20,https://lh5.googleusercontent.com/-UZbeMHmtTuw/AAAAAAAAAAI/AAAAAAAAAAA/dZPAgvJ9OJw/s44-p-k-no-ns-nd/photo.jpg,"Modern hostelry with real ales, budget pub food, children's' menu and a courtyard space.","https://www.google.com/maps/place/Baxter%E2%80%99s+Court+-+JD+Wetherspoon/@51.545348499999996,-0.0550104,14z/data=!4m8!1m2!2m1!1sBaxter%E2%80%99s+Court+-+JD+Wetherspoon!3m4!1s0x48761ce4e5d6487d:0x8b334917fbb23488!8m2!3d51.545348499999996!4d-0.0550104",ChIJfUjW5eQcdkgRiDSy-xdJM4s,"Cocktails, Craft beer, Food menu, Late-night, Outdoor seating, Wine","Modern hostelry with real ales, budget pub food, children's' menu and a courtyard space. Key features: Cocktails, Craft beer, Food menu, Late-night, Outdoor seating",Pub
